image,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
微信图片_20251017223412_5_1274.jpg,5.328075,18.057087,-1.4773638,5.8491044,15.713105,-19.180357,4.3254776,11.610089,-6.078079,-8.460539,30.489723,26.916334,5.5197,-1.3684325,-16.445818,-6.7178016,14.021379,7.234032,0.10923743,0.01980298,10.838602,-10.45124,-5.1735263,-7.4927306,0.3290336,-6.3449802,-2.5249584,-4.4611206,4.3325453,5.2111216,3.374171,1.0555409,1.1275158,-1.7448593,-0.3114204,3.2022324,0.9623854,0.09503216,-0.003003038,1.8511609,-0.956001,-1.409181,2.0890872,-1.57428,-2.6135535,-1.4501122,0.9379172,-0.7994656,-0.8269187,0.75505143
微信图片_20251017223413_6_1274.jpg,-5.1306543,0.7352666,0.79018366,1.3646406,-6.3648763,-0.8326488,-5.069127,-2.1254447,-0.38650596,-0.841383,1.914375,0.85020155,-0.7526418,-3.4248362,-7.2561445,4.232,1.8733776,4.667631,-4.3378496,1.6192133,-0.20067717,1.1379468,1.3509263,3.7338588,2.193794,0.92858696,-5.073252,-2.1258593,-3.265663,0.38399336,4.5415077,1.5744888,-3.2486315,-2.3252823,-1.817653,-1.0556107,1.4686673,-0.29823744,4.8102255,0.09376528,5.0372233,-1.2051562,-1.8850452,-3.3458068,7.1630034,-1.269277,3.6557977,3.3507714,1.427658,-1.1275094
微信图片_20251017223414_7_1274.jpg,13.913887,-5.5231185,3.015196,-2.6205378,1.7401161,2.2710524,4.223611,20.640394,0.24915019,9.4926,-1.1528188,4.216737,7.509615,-4.9270115,-5.540875,-2.0712125,-10.137191,3.9631,-1.7447429,3.646805,-7.7869515,-4.215878,-4.126535,-2.6899374,3.6001713,18.937525,-0.3703696,3.0332222,8.439394,1.5345458,-7.4445434,18.034346,-5.029602,2.470001,0.665254,-3.89129,3.7130857,0.09248785,7.4225698,4.00314,4.408338,3.8978753,1.7088872,4.9103684,-3.6133704,-5.3200235,-4.35089,6.7625923,-0.42483455,-6.2671003
微信图片_20251122072052_8_1274.jpg,-9.514278,-10.618265,11.043774,1.0659864,-6.3832593,-2.4019742,3.6199012,-2.726975,2.061423,0.23857574,1.0494933,2.059975,3.7771523,-2.397686,0.10242586,-2.4948943,3.286428,-2.6172721,3.8504903,1.8207154,1.238662,2.3550293,-1.5851908,3.1274772,-0.72460234,-0.4172598,-3.5499747,-2.1271548,0.2730622,-1.2652291,-0.91533446,-1.5402309,0.76182294,-0.45369923,0.08728607,1.1459713,-3.037727,-3.191119,-3.013623,1.1404076,1.2858914,-3.110024,-1.3878591,1.3310688,-3.3200102,0.8527433,-2.1117516,1.7379798,0.22530138,-1.395655
微信图片_20251122072053_9_1274.jpg,-10.813893,-13.939185,11.744096,1.9474602,-2.7928982,-3.1230047,6.3277597,0.3085524,2.4981368,-0.6616106,0.21305329,-0.22200541,1.4210216,-1.1094466,-0.3780401,2.868799,0.6396538,-1.3387302,3.2007174,2.5643973,-0.026904432,2.1577146,-2.272414,2.5060313,1.2928649,1.7269373,-4.5909195,1.2541938,-1.0257168,-0.10720633,3.4716437,0.79464144,2.5360904,0.4198574,2.147639,1.4889928,-3.3202302,-0.15469033,1.7023913,3.167072,3.202642,-4.1485276,0.2558402,-0.22912677,-2.2016132,4.1040106,-2.63531,-0.001535591,-6.7569175,-2.2768583
微信图片_20251122072055_10_1274.jpg,-7.725588,-11.118594,16.504383,3.9540641,-1.2128751,-1.3285005,3.7030864,2.9768639,3.6806786,0.22111578,-0.6300859,-1.6561084,2.217171,-1.2019765,0.84000146,-4.207168,-0.17758209,-2.2105477,1.8776299,-0.21918932,-0.29519668,3.8979182,-4.7085576,-5.550569,-1.643809,-6.657167,7.1860847,2.166574,1.7561221,3.543013,-2.380353,-3.3244114,-4.6009665,-0.341489,-3.05904,-4.207018,5.235512,1.8018092,1.1461481,-3.2828023,-4.4645915,2.4067326,3.8632896,-1.8022468,1.9729266,0.34840164,2.8688207,0.86677486,5.5785804,3.3827527
微信图片_20251122072057_11_1274.jpg,-10.137114,-11.339629,12.6408415,2.5035799,-7.0215898,-0.6569796,2.2724464,-3.8928063,2.85607,0.3788309,1.4031898,1.0256364,3.6112678,-2.990345,-0.45203748,-1.527829,3.5543199,-3.9251745,3.4831758,1.6526686,0.8268892,3.289825,-0.4882961,3.4632754,1.8276364,-1.0846767,-3.858058,-1.446311,-0.27040464,-1.5297352,-0.09379536,-0.72130346,1.383993,0.93130845,0.72370505,2.1448379,-1.4174737,-1.7542331,-2.393639,1.3974339,2.0138404,-1.9265974,-2.7797797,4.8120613,-2.2335098,-0.5157377,-2.392616,0.987824,0.36581272,-2.2220893
微信图片_20251122072058_12_1274.jpg,-11.404044,-11.510067,11.438033,1.5272793,-4.2236342,-1.6235005,3.3375897,-1.7488924,2.6771972,-0.42229965,0.59318894,-1.5528073,0.25833324,-1.2378055,-1.5238527,1.6190006,1.6786766,-1.7822689,3.65815,0.8082764,1.0923488,1.7750444,-1.6841486,1.1265761,2.001135,1.9780939,-2.3333812,-2.6564832,-1.1563696,0.13157362,0.5600807,-0.6327497,2.0597792,-0.80372,1.6434427,1.3343936,-1.704707,-1.1723803,1.8203812,2.587406,1.0754735,-1.9091012,-0.42745787,-1.1713077,-0.20935044,2.0442617,-2.9798086,-0.7724492,-5.470226,-2.484245
微信图片_20251122072100_13_1274.jpg,-2.2485716,-6.468637,17.699078,2.947812,-0.20271285,-2.9124734,5.4775324,7.1727896,6.7626038,-0.122962184,5.2974834,-5.358033,-0.9323143,-2.9433508,-4.9758744,0.24499169,-3.1751244,-7.1539307,-1.3888162,-1.6675045,-3.281961,9.235901,-1.7783011,-10.488479,3.972406,-6.431639,17.07722,5.8988247,-0.24830624,10.320589,1.4650078,-9.156373,-4.2675157,-6.270814,-4.2694583,-9.9540205,7.1564665,5.580249,2.3529112,-3.9163995,-3.2235892,-1.4744492,-5.843584,-8.929468,-6.0135427,-2.6759076,-6.7998385,1.7908838,-5.3149924,-4.6899576
微信图片_20251122072101_14_1274.jpg,-6.557876,-11.639798,15.24375,4.533042,-3.549869,-0.27971637,5.488912,1.0400486,1.8141677,0.49915665,-2.84395,2.966482,-0.3620713,-0.8307671,-1.3892738,-2.6961339,1.2439125,0.5973358,0.5298784,-1.0444703,-2.122192,2.6895447,-3.3957148,1.7062604,-2.518181,2.2713861,0.09954455,1.5507168,-1.1032879,1.1797497,0.11453324,2.2085133,0.69431895,4.1188784,1.0549743,0.056889676,-1.5690883,0.17353338,2.7352347,1.0537958,-1.0771126,-2.8935857,4.6662025,-4.338341,-1.5559325,-2.5722933,5.9858646,4.870345,-5.7771173,11.909622
微信图片_20251122072103_15_1274.jpg,-8.175166,-9.39341,15.371358,1.5317293,-4.0846543,0.11240481,1.025069,-0.6365415,3.8462205,-0.61898273,0.83793175,2.629201,3.5352323,-2.4421496,2.5691814,-4.9401937,1.4120275,-0.61307234,1.9330599,2.3379364,-0.0054176366,2.7778432,-3.3067384,1.2511691,-2.7874222,-1.6638021,-0.7860373,-0.9631565,3.5900686,0.5579633,-2.768108,-1.116861,-0.6533566,-0.80101156,1.1196783,1.1724644,0.9413321,-3.1738832,-3.0390532,-1.8155776,-1.2902529,1.3062257,0.2431237,3.6235101,0.90853447,-1.6876758,-0.025017118,1.0588205,4.976831,2.382474
微信图片_20251122072105_16_1274.jpg,-9.299268,-14.835578,15.455606,1.8005525,-1.4476521,-2.875031,4.208925,4.015854,1.1234363,-0.29632795,-1.8954315,1.0128165,-0.17179643,0.13571459,-0.054544102,-0.7133362,-0.60646236,-0.39004156,0.2141432,1.30552,-0.7206337,-0.65850306,-2.2301853,0.34498948,-1.1186908,3.563958,0.1780731,1.8568456,0.5561434,1.4049997,0.1573884,1.3477168,0.91295785,1.346138,-0.35514882,0.04057709,0.060754526,1.288972,1.0449134,2.4453838,1.045138,2.0283892,2.6014795,-1.0540944,0.6784895,3.113904,4.382065,-0.990515,-0.91119695,4.5019374
微信图片_20251122072107_17_1274.jpg,-8.684892,-13.760637,16.013048,2.9454553,-3.162695,-1.0007497,2.9337552,2.2769258,1.3273925,-1.6251267,-1.4062413,0.47069442,0.25343794,0.19308154,0.061909635,-2.3334234,-0.40690053,-1.4399865,1.9472451,0.63123715,-0.99835736,1.5059254,-4.1755843,-0.17262775,-2.6701782,0.32112405,1.4398192,0.7227229,0.9026615,-0.7234856,-1.3274823,1.440061,-0.09953167,-0.2802098,0.45923483,1.433736,1.9412892,0.4513954,0.123797424,-0.8851781,-0.16520846,4.241236,4.4415393,-1.1550246,4.9336133,1.1827435,7.4106483,0.23949881,0.9810646,7.5755167
